[2021-02-27 16:35:28,167] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-27 16:35:29,220] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-27 16:35:30,136] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-27 16:35:30,137] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-27 16:35:30,137] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-27 16:35:30,154] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2021-02-27 16:39:55,603] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-27 16:39:55,852] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-27 16:39:56,766] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-27 16:39:56,767] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-27 16:39:56,774] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-27 16:39:56,812] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
