Reading configuration file /etc/srslte/ue.conf...

Built in RelWithDebInfo mode using 19.12.0.

Opening 1 RF devices with 1 RF channels...
Opening USRP with args: type=b200,master_clock_rate=23.04e6
Waiting PHY to initialize ... done!
Attaching UE...
Searching cell in DL EARFCN=3050, f_dl=2650.0 MHz, f_ul=2530.0 MHz
.
Found Cell:  Mode=FDD, PCI=1, PRB=50, Ports=1, CFO=-6.8 KHz
Found PLMN:  Id=00101, TAC=7
Random Access Transmission: seq=5, ra-rnti=0x2
Random Access Complete.     c-rnti=0x46, ta=5
RRC Connected
RF status: O=1, U=0, L=0
Network attach successful. IP: 172.16.0.2
Software Radio Systems LTE (srsLTE)
Enter t to stop trace.

--------Signal--------------DL-------------------------------------UL----------------------
cc pci  rsrp    pl    cfo   mcs   snr turbo  brate   bler   ta_us  mcs   buff  brate   bler
 0   1   -50    50  -6.7k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -53    53  -6.7k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -51    51  -6.6k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -49    49  -6.6k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -49    49  -6.6k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -50    50  -6.6k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -50    50  -6.6k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -50    50  -6.5k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -49    49  -6.5k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -48    48  -6.5k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -48    48  -6.5k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%

--------Signal--------------DL-------------------------------------UL----------------------
cc pci  rsrp    pl    cfo   mcs   snr turbo  brate   bler   ta_us  mcs   buff  brate   bler
 0   1   -49    49  -6.5k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -49    49  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -51    51  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -51    51  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -52    52  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -52    52  -6.4k   2.5    29  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -52    52  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -52    52  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -52    52  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -51    51  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -49    49  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%

--------Signal--------------DL-------------------------------------UL----------------------
cc pci  rsrp    pl    cfo   mcs   snr turbo  brate   bler   ta_us  mcs   buff  brate   bler
 0   1   -50    50  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -51    51  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -51    51  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -51    51  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -50    50  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -50    50  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -50    50  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
 0   1   -50    50  -6.4k   2.5    28  0.50    0.0     0%   2.6   9.5    0.0    0.0     0%
