time;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;-52;52;-6741.052734;0.58;27;0.15;1441.138428;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;-50;50;-6763.464355;1.0;29;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;-47;47;-6755.803223;2.0;29;0.34;2240.560303;0;0.0;0.0;0.0;560;0;0.0;0.0;0.0;0.0
8;-49;49;-6752.405762;2.5;29;0.50;3280.918701;0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
9;-49;49;-6755.889160;2.5;29;0.50;0.0;0.0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
10;-49;49;-6756.337402;2.5;29;0.50;0.0;0.0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
11;-49;49;-6753.755859;2.5;29;0.50;0.0;0.0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
12;-49;49;-6757.740234;3.4;30;0.50;1760.422485;0;2.6;2.3;24;20644.955078;43;0.0;0.0;0.0;1.0
13;-48;48;-6755.855957;5.1;29;0.50;4561.322754;0;2.6;5.6;24;36970.718750;43;0.0;0.0;0.0;1.0
14;-50;50;-6756.843750;7.0;29;0.50;0.0;0.0;2.6;7.5;0.0;0.0;75;0.0;0.0;0.0;1.0
15;-47;47;-6763.126953;7.0;29;0.50;0.0;0.0;2.6;9.5;21;0.0;100.000000;0.0;0.0;0.0;1.0
16;-51;51;-6768.232422;7.0;29;0.50;0.0;0.0;2.6;10;0.0;0.0;75;0.0;0.0;0.0;1.0
17;-47;47;-6768.833008;5.9;29;0.50;8802.993164;0;2.6;7.1;0.0;70744.054688;33;0.0;0.0;0.0;1.0
18;-49;49;-6766.707520;5.7;30;0.50;10162.642578;0;2.6;7.9;0.0;88583.031250;50;0.0;0.0;0.0;1.0
19;-49;49;-6764.263184;0.0;29;0.50;0.0;0.0;2.6;8.4;0.0;457442.437500;76;0.0;0.0;0.0;1.0
20;-48;48;-6762.984863;3.4;29;0.50;4562.417969;0;2.6;7.6;0.0;45223.968750;43;0.0;0.0;0.0;1.0
21;-50;50;-6758.651855;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
22;-48;48;-6764.423828;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
23;-48;48;-6763.195312;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
24;-50;50;-6761.834961;4.5;28;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
25;-49;49;-6767.162598;4.5;28;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
26;-50;50;-6762.469238;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
27;-51;51;-6764.954102;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
28;-50;50;-6758.888672;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
